City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Thompson,CA,2021-04-04 02:35:19,55.7435,-97.8558,32.0,55,20,3.44,few clouds
190,Pangnirtung,CA,2021-04-04 02:35:19,66.1451,-65.7125,-2.18,66,100,7.16,overcast clouds
191,Tuatapere,NZ,2021-04-04 02:35:19,-46.1333,167.6833,61.0,80,91,21.0,overcast clouds
192,Piraju,BR,2021-04-04 02:35:20,-23.1936,-49.3839,63.27,93,100,9.15,overcast clouds
193,Hami,CN,2021-04-04 02:35:20,42.8,93.45,59.47,7,100,12.88,overcast clouds
194,Znamenskoye,RU,2021-04-04 02:35:20,57.1281,73.8282,28.92,86,100,8.16,overcast clouds
195,Mbekenyera,TZ,2021-04-04 02:35:21,-10.0,38.9833,69.06,97,100,3.58,overcast clouds
196,Kavieng,PG,2021-04-04 02:30:50,-2.5744,150.7967,83.73,71,100,4.43,light rain
197,Marienburg,PL,2021-04-04 02:35:21,54.0359,19.0266,30.99,90,37,5.66,scattered clouds
198,Vestmannaeyjar,IS,2021-04-04 02:35:21,63.4427,-20.2734,35.33,65,21,35.34,few clouds
199,Buin,CL,2021-04-04 02:35:22,-33.7333,-70.75,73.99,55,0,9.22,clear sky
200,North Platte,US,2021-04-04 02:33:51,41.1239,-100.7654,66.2,24,1,9.22,clear sky
201,Manakara,MG,2021-04-04 02:35:22,-22.1333,48.0167,69.85,89,4,2.95,clear sky
202,Lamu,KE,2021-04-04 02:35:23,-2.2717,40.902,82.4,83,40,5.75,moderate rain
203,Conceicao Do Araguaia,BR,2021-04-04 02:35:23,-8.2578,-49.2647,77.0,88,0,2.3,clear sky
204,Rebrikha,RU,2021-04-04 02:35:23,53.0733,82.3408,29.35,87,68,5.1,broken clouds
205,Kruisfontein,ZA,2021-04-04 02:30:55,-34.0033,24.7314,60.55,44,0,6.04,clear sky
206,Russell,US,2021-04-04 02:35:24,32.3502,-85.1999,51.8,71,1,3.44,clear sky
207,Chipinge,ZW,2021-04-04 02:35:24,-20.1883,32.6236,55.67,95,3,1.97,clear sky
208,Carutapera,BR,2021-04-04 02:35:24,-1.195,-46.02,75.83,92,76,5.97,broken clouds
209,Torrevieja,ES,2021-04-04 02:35:25,37.9787,-0.6822,55.99,88,15,1.32,few clouds
210,Doha,QA,2021-04-04 02:35:25,25.2867,51.5333,69.8,56,0,19.57,clear sky
211,Taoudenni,ML,2021-04-04 02:35:25,22.6783,-3.9836,84.04,14,99,6.85,overcast clouds
212,Bengkulu,ID,2021-04-04 02:35:26,-3.8004,102.2655,80.8,74,90,13.67,overcast clouds
213,Juanjui,PE,2021-04-04 02:35:26,-7.1779,-76.7314,71.15,96,60,1.16,broken clouds
